,,Tmin,Rainfall,RH,Solar,Wind,Tmax,Discharge
436,11,10,0,0.33,23.28,4.39,23.9,113.4
437,12,11.1,5.5,0.49,19.77,4.07,19.4,113.6
438,13,10,6.5,0.62,14.47,3.48,17.8,116.2
439,14,11.1,9.5,0.59,21.64,2.52,13.3,117
440,15,6.7,9.5,0.85,5.63,2.39,12.8,121.6
441,16,6.7,0,0.8,2.86,3.18,23.3,118.7
442,17,7.8,0,0.55,20.22,2.84,25.6,116.2
443,18,10,0,0.73,5.7,3.09,21.1,116.2
444,19,10.6,0,0.37,23.42,3.32,27.2,116.5
445,20,11.1,1.5,0.42,21.85,3.42,22.8,119.3
446,21,10,11.5,0.59,7.47,3.87,13.3,122.1
447,22,12.2,0.5,0.43,24.55,2.86,23.3,123
448,23,10,19,0.39,21.87,3.85,15.6,123.8
449,24,8.9,21,0.26,25.67,4.69,12.2,139.4
450,25,10,0.5,0.24,23.47,3.89,18.9,142.3
451,26,8.9,3.5,0.33,25.02,3.46,14.4,138.6
452,27,10,0,0.24,24.43,3.95,23.3,135.7
453,28,12.2,0,0.31,25.5,3.77,23.9,133.2
454,29,11.7,3.8,0.42,21.7,3.64,19.4,133.2
455,30,12.8,0,0.43,21.75,3.31,25.6,133.2
456,31,10,0,0.17,22.61,3.83,24.4,133.2
457,1,10.6,0,0.12,25.08,4,25.6,129.8
458,2,12.2,0,0.45,14.49,3.24,27.2,127.5
459,3,11.1,0,0.39,18.07,4.24,26.7,127.5
460,4,12.8,0,0.26,25.23,4.04,28.3,127.5
461,5,13.3,0,0.2,27.33,4.68,30,127.8
462,6,13.3,2.4,0.24,27.03,4.61,28.3,131.2
463,7,11.1,0,0.25,27.29,3.8,25.6,139.4
464,8,12.2,0,0.29,23.84,3.57,23.3,144
